DB 0 MOTIF	1	MEME
-242.5	0	0
-241.5	0	0
-240.5	0	1
-239.5	0	1
-238.5	0	0
-237.5	0	4
-236.5	0	1
-235.5	0	1
-234.5	0	0
-233.5	0	0
-232.5	0	0
-231.5	0	0
-230.5	0	0
-229.5	0	0
-228.5	0	0
-227.5	0	0
-226.5	0	0
-225.5	0	0
-224.5	0	0
-223.5	0	0
-222.5	0	1
-221.5	0	0
-220.5	0	0
-219.5	0	1
-218.5	0	2
-217.5	0	0
-216.5	0	0
-215.5	0	0
-214.5	0	0
-213.5	0	0
-212.5	0	1
-211.5	0	1
-210.5	0	1
-209.5	0	1
-208.5	0	0
-207.5	0	1
-206.5	0	1
-205.5	0	1
-204.5	0	2
-203.5	0	0
-202.5	0	1
-201.5	0	1
-200.5	0	0
-199.5	0	1
-198.5	0	0
-197.5	0	0
-196.5	0	2
-195.5	0	4
-194.5	0	0
-193.5	0	0
-192.5	0	0
-191.5	0	1
-190.5	0	0
-189.5	0	0
-188.5	0	0
-187.5	0	0
-186.5	0	0
-185.5	0	1
-184.5	0	0
-183.5	0	0
-182.5	0	1
-181.5	0	0
-180.5	0	1
-179.5	0	1
-178.5	0	1
-177.5	0	0
-176.5	0	1
-175.5	0	1
-174.5	0	1
-173.5	0	0
-172.5	0	0
-171.5	0	0
-170.5	0	1
-169.5	0	2
-168.5	0	0
-167.5	0	2
-166.5	1	0
-165.5	0	1
-164.5	0	0
-163.5	0	0
-162.5	0	0
-161.5	0	0
-160.5	0	0
-159.5	0	0
-158.5	0	0
-157.5	0	0
-156.5	0	0
-155.5	0	0
-154.5	0	2
-153.5	0	0
-152.5	0	0
-151.5	0	1
-150.5	0	1
-149.5	0	0
-148.5	0	1
-147.5	0	0
-146.5	0	0
-145.5	0	0
-144.5	0	0
-143.5	0	2
-142.5	0	0
-141.5	0	0
-140.5	0	0
-139.5	0	0
-138.5	0	0
-137.5	0	0
-136.5	0	1
-135.5	0	1
-134.5	0	1
-133.5	0	2
-132.5	0	1
-131.5	0	0
-130.5	0	0
-129.5	0	0
-128.5	0	0
-127.5	0	0
-126.5	0	0
-125.5	0	0
-124.5	0	0
-123.5	0	1
-122.5	0	1
-121.5	0	1
-120.5	0	1
-119.5	0	1
-118.5	0	2
-117.5	0	1
-116.5	0	0
-115.5	0	1
-114.5	0	0
-113.5	0	1
-112.5	0	1
-111.5	0	0
-110.5	0	2
-109.5	0	0
-108.5	0	0
-107.5	0	0
-106.5	0	2
-105.5	0	0
-104.5	0	0
-103.5	0	0
-102.5	0	1
-101.5	0	1
-100.5	0	1
 -99.5	0	0
 -98.5	0	0
 -97.5	0	0
 -96.5	0	0
 -95.5	0	1
 -94.5	0	1
 -93.5	0	1
 -92.5	0	0
 -91.5	0	0
 -90.5	0	0
 -89.5	0	0
 -88.5	0	2
 -87.5	0	1
 -86.5	0	1
 -85.5	0	1
 -84.5	0	0
 -83.5	0	0
 -82.5	0	0
 -81.5	0	0
 -80.5	0	2
 -79.5	0	0
 -78.5	0	3
 -77.5	0	0
 -76.5	0	0
 -75.5	0	1
 -74.5	0	1
 -73.5	0	0
 -72.5	0	0
 -71.5	0	2
 -70.5	0	0
 -69.5	0	1
 -68.5	0	0
 -67.5	0	1
 -66.5	0	0
 -65.5	0	1
 -64.5	0	1
 -63.5	0	1
 -62.5	0	0
 -61.5	0	1
 -60.5	0	0
 -59.5	0	3
 -58.5	0	0
 -57.5	0	0
 -56.5	0	2
 -55.5	0	1
 -54.5	0	0
 -53.5	0	2
 -52.5	0	0
 -51.5	0	0
 -50.5	1	0
 -49.5	0	0
 -48.5	0	0
 -47.5	0	1
 -46.5	0	0
 -45.5	0	0
 -44.5	0	0
 -43.5	0	0
 -42.5	0	1
 -41.5	0	0
 -40.5	0	1
 -39.5	0	1
 -38.5	0	0
 -37.5	0	0
 -36.5	0	0
 -35.5	0	0
 -34.5	0	1
 -33.5	0	0
 -32.5	0	1
 -31.5	0	0
 -30.5	0	0
 -29.5	0	0
 -28.5	0	0
 -27.5	0	1
 -26.5	0	1
 -25.5	0	0
 -24.5	0	0
 -23.5	0	1
 -22.5	0	1
 -21.5	0	1
 -20.5	0	0
 -19.5	0	0
 -18.5	0	1
 -17.5	0	0
 -16.5	2	1
 -15.5	0	1
 -14.5	1	0
 -13.5	0	0
 -12.5	0	1
 -11.5	0	0
 -10.5	1	0
  -9.5	0	0
  -8.5	1	0
