prim_db	prim_id	prim_alt	sec_db	sec_id	sec_alt	trim_left	trim_right	red_db	red_id	red_alt	E-value	gap	orient	count	total	adj_p-value	p-value
prodoric	MX000143	GcvA	prodoric	MX000200	MelR	0	0	.	.	.	4.70e-01	15	0	3	10	8.77e-08	7.89e-07
prodoric	MX000143	GcvA	prodoric	MX000200	MelR	0	0	.	.	.	4.70e-01	15	4	3	10	6.95e-07	6.25e-06
prodoric	MX000143	GcvA	prodoric	MX000200	MelR	0	0	.	.	.	4.70e-01	15	5	3	10	6.95e-07	6.25e-06
prodoric	MX000143	GcvA	meme.xml	2	MEME	0	0	.	.	.	4.92e-01	30	1	3	10	9.39e-08	8.45e-07
prodoric	MX000143	GcvA	meme.xml	2	MEME	0	0	.	.	.	4.92e-01	30	4	3	10	7.43e-07	6.69e-06
prodoric	MX000143	GcvA	meme.xml	2	MEME	0	0	.	.	.	4.92e-01	30	6	3	10	7.43e-07	6.69e-06
prodoric	MX000143	GcvA	prodoric	MX000008	GlpR	0	1	.	.	.	1.79e+00	45	0	3	15	3.38e-07	3.04e-06
prodoric	MX000143	GcvA	prodoric	MX000008	GlpR	0	1	.	.	.	1.79e+00	45	4	3	15	2.66e-06	2.39e-05
prodoric	MX000143	GcvA	prodoric	MX000008	GlpR	0	1	.	.	.	1.79e+00	45	5	3	15	2.66e-06	2.39e-05
prodoric	MX000143	GcvA	prodoric	MX000058	PucR	0	0	.	.	.	2.85e+00	45	0	3	18	5.06e-07	4.55e-06
prodoric	MX000143	GcvA	prodoric	MX000058	PucR	0	0	.	.	.	2.85e+00	45	4	3	18	3.97e-06	3.57e-05
prodoric	MX000143	GcvA	prodoric	MX000058	PucR	0	0	.	.	.	2.85e+00	45	5	3	18	3.97e-06	3.57e-05
prodoric	MX000143	GcvA	collectf	EXPREG_000009a0	AmpR_P.aeruginosa	3	0	.	.	.	3.47e+00	43	0	3	19	6.26e-07	5.64e-06
prodoric	MX000143	GcvA	prodoric	MX000157	PdhR	0	0	.	.	.	4.98e+00	43	1	3	22	8.56e-07	7.70e-06
prodoric	MX000143	GcvA	collectf	EXPREG_00001730	H-NS_V.cholerae	0	0	.	.	.	5.26e+00	39	1	3	22	9.30e-07	8.37e-06
prodoric	MX000143	GcvA	prodoric	MX000197	NatA	0	0	.	.	.	9.48e+00	17	0	3	27	1.65e-06	1.48e-05
##
# Detailed descriptions of columns in this file:
#
# prim_db:	The name of the database (file name) that contains the primary motif.
# prim_id:	A name for the primary motif that is unique in the motif database file.
# prim_alt:	An alternate name of the primary motif that may be provided
#		in the motif database file.
# sec_db:	The name of the database (file name) that contains the secondary motif.
# sec_id:	A name for the motif that is unique in the motif database file.
# sec_alt:	An alternate name of the secondary motif that may be provided
#		in the motif database file.
# trim_left:	Number of positions trimmed from left of secondary motif
# trim_right:	Number of positions trimmed from right of secondary motif
# If the next three fields are not blank, the motif is redundant with a more significant ('parent') motif.
# red_db:	The database (file name) that contains the parent motif.
# red_id:	A name for the parent motif that is unique in the motif database file.
# red_alt:	An alternate name of the parent motif that may be provided
#		in the motif database file.
# E-value:	The expected number motifs that would have least one
#		spacing as enriched as the best spacing for this secondary.
#		The E-value is the best spacing p-value multiplied by the number of motifs in the
#		input database(s).
# gap:		The distance between the edge of the primary and the (trimmed) secondary motif.
# orient:	The (combination) of quadrants for which occurrences
#		of this spacing are combined.
# count:	The number of occurrences of the secondary motif with the
#		given spacing and orientation to the primary motif.
# total:	The total number of occurrences of the secondary motif within the
#		margins around the best primary motif occurrence.
# adj_p-value:	The p-value of the gap and orientation, adjusted for
#		nine combinations of quadrants times the number of gaps tested
#		(as controlled by the -range switch).
# p-value:	The p-value of the gap and orientation adjusted only for the number of gaps tested.
